p,local_edges,nonlocal_edges,mean_degree,rounds,absorbed,frozen,capped,local_matches,nonlocal_matches,realized_nonlocal_match_fraction,final_active_density,final_cluster_count,final_largest_cluster_fraction,final_interface_length,winner_site
0.04,19800,394,4.0388,18616,False,True,False,1911457,32028,0.016479674399339332,0.2611,2611,0.00038299502106472615,10312,-1
0.06,19800,605,4.081,10139,False,True,False,1948262,61197,0.030454465604921523,0.2574,2574,0.0003885003885003885,10178,-1
0.07999999999999999,19800,775,4.115,29011,False,True,False,2015312,62318,0.02999475363755818,0.2545,2545,0.0003929273084479371,10052,-1
0.09999999999999999,19800,995,4.159,33633,False,True,False,1996385,111520,0.05290561007256019,0.249,2490,0.00040160642570281126,9840,-1
0.12,19800,1161,4.1922,24150,False,True,False,2081506,87952,0.040541001485163576,0.2482,2482,0.00040290088638195,9817,-1
0.13999999999999999,19800,1390,4.238,18049,False,True,False,1954187,129757,0.06226510885129351,0.2504,2504,0.00039936102236421724,9895,-1
0.15999999999999998,19800,1647,4.2894,26294,False,True,False,2036315,172208,0.07797428417091423,0.2445,2445,0.00040899795501022495,9665,-1
0.18,19800,1802,4.3204,20117,False,True,False,1920228,199619,0.09416670165346838,0.248,2480,0.0004032258064516129,9795,-1
0.19999999999999998,19800,2004,4.3608,16963,False,True,False,2013035,183563,0.08356695216876278,0.2403,2403,0.0004161464835622139,9497,-1
0.21999999999999997,19800,2187,4.3974,22777,False,True,False,2057135,203285,0.08993240194300174,0.2431,2431,0.00041135335252982314,9611,-1
0.23999999999999996,19800,2369,4.4338,16870,False,True,False,1906191,232343,0.108645922861175,0.2442,2442,0.0004095004095004095,9648,-1
0.25999999999999995,19800,2630,4.486,18692,False,True,False,1992676,258681,0.11490003584504813,0.2389,2389,0.0004185851820845542,9434,-1
0.27999999999999997,19800,2745,4.509,16483,False,True,False,2035963,252546,0.11035394660890563,0.2379,2379,0.0004203446826397646,9403,-1
0.29999999999999993,19800,3015,4.563,29752,False,True,False,2028942,340035,0.14353664049925347,0.2375,2375,0.0004210526315789474,9384,-1
0.31999999999999995,19800,3289,4.6178,14653,False,True,False,1909942,317997,0.1427314661667128,0.2358,2358,0.00042408821034775233,9313,-1
0.33999999999999997,19800,3389,4.6378,20480,False,True,False,1960932,312552,0.1374771056229118,0.237,2370,0.0004219409282700422,9357,-1
0.35999999999999993,19800,3621,4.6842,30082,False,True,False,1881837,319791,0.14525205893093657,0.2383,2383,0.000419639110365086,9423,-1
0.37999999999999995,19800,3742,4.7084,30117,False,True,False,2058471,400714,0.16294585401260986,0.2299,2299,0.00043497172683775554,9094,-1
0.39999999999999997,19800,3965,4.753,18786,False,True,False,1936918,449697,0.18842460975063008,0.2316,2316,0.0004317789291882556,9158,-1
0.41999999999999993,19800,4213,4.8026,25253,False,True,False,1980875,395458,0.16641522884208568,0.2361,2361,0.00042354934349851756,9335,-1
0.43999999999999995,19800,4347,4.8294,25460,False,True,False,1929331,421423,0.17927141674543573,0.2358,2358,0.00042408821034775233,9331,-1
0.45999999999999996,19800,4597,4.8794,17402,False,True,False,1912345,446475,0.18927896151465562,0.2316,2316,0.0004317789291882556,9150,-1
0.4799999999999999,19800,4892,4.9384,37418,False,True,False,2110406,437961,0.17185946922087753,0.2243,2243,0.00044583147570218456,8872,-1
0.49999999999999994,19800,4857,4.9314,36538,False,True,False,1927055,519901,0.2124684710309462,0.2284,2284,0.00043782837127845885,9025,-1
0.5199999999999999,19800,5225,5.005,41512,False,True,False,1907974,513630,0.2121032175368062,0.2304,2304,0.00043402777777777775,9119,-1
0.5399999999999999,19800,5491,5.0582,27814,False,True,False,1956804,526223,0.21192802172509603,0.223,2230,0.0004484304932735426,8817,-1
0.5599999999999999,19800,5622,5.0844,105716,False,True,False,2024361,783095,0.2789340242554113,0.2182,2182,0.00045829514207149406,8622,-1
0.58,19800,5781,5.1162,23949,False,True,False,2004688,570036,0.22139693419566525,0.2201,2201,0.00045433893684688776,8686,-1
0.5999999999999999,19800,5992,5.1584,37085,False,True,False,1947034,612313,0.23924579199303572,0.2201,2201,0.00045433893684688776,8699,-1
0.6199999999999999,19800,6298,5.2196,31746,False,True,False,1974763,685445,0.2576659419113092,0.2155,2155,0.0004640371229698376,8508,-1
0.6399999999999999,19800,6336,5.2272,92887,False,True,False,1899528,708981,0.271795496967808,0.2194,2194,0.00045578851412944393,8676,-1
0.6599999999999999,19800,6634,5.2868,30223,False,True,False,2012373,701846,0.25858119775891336,0.2178,2178,0.0004591368227731864,8616,-1
0.6799999999999999,19800,6792,5.3184,45384,False,True,False,2043450,732901,0.263979950661858,0.2156,2156,0.00046382189239332097,8521,-1
0.7,19800,6931,5.3462,38195,False,True,False,1931820,659702,0.25456160511081904,0.2149,2149,0.00046533271288971617,8505,-1
0.7199999999999999,19800,7140,5.388,26928,False,True,False,2016488,774627,0.2775331722268699,0.2102,2102,0.0004757373929590866,8311,-1
